weekday,day,month,Malware sites detected,Phishing sites detected,Malware sites number,Phishing sites number,Attack sites,Compromised sites,Browser warnings,Search warnings,Webmaster response time,Reinfection rate
6,21,5,1,0,0,0,0,1,0,0,0,0
6,28,5,0,0,0,0,0,0,0,0,0,0
6,4,6,0,0,0,0,0,0,0,0,0,0
6,11,6,0,0,0,0,0,0,0,0,0,0
6,18,6,0,0,0,0,0,0,0,0,0,0
6,25,6,0,0,0,0,0,0,0,0,0,0
6,2,7,0,0,0,0,0,0,0,0,0,0
6,9,7,0,0,0,0,0,0,0,0,0,0
6,16,7,0,0,0,0,0,0,0,0,0,0
6,23,7,0,0,0,0,0,0,0,0,0,0
6,30,7,32,0,63,0,0,32,0,0,45,0
6,6,8,27,0,70,0,0,27,0,0,60,0
6,13,8,0,0,73,0,0,0,0,0,0,0
6,20,8,31,0,79,0,0,31,0,0,68,0
6,27,8,25,0,88,0,0,25,0,0,72,0
6,3,9,49,0,110,0,0,49,0,0,90,0
6,10,9,0,0,143,0,0,0,0,0,0,0
6,17,9,0,0,176,0,0,0,0,0,0,0
6,24,9,37,0,204,0,0,37,0,0,90,0
6,1,10,34,0,228,0,0,34,0,0,90,0
6,8,10,41,0,250,0,0,41,0,0,90,0
6,15,10,46,0,266,0,0,46,0,0,90,0
6,22,10,31,0,289,0,0,31,0,0,90,0
6,29,10,37,0,322,0,0,37,0,0,90,0
6,5,11,50,0,365,0,0,50,0,0,90,0
6,12,11,62,0,415,0,0,62,0,0,90,0
6,19,11,87,0,491,0,16,84,0,0,90,0
6,26,11,106,0,587,0,39,90,0,0,90,2
6,3,12,100,0,681,0,0,84,0,0,90,2
6,10,12,433,0,1004,0,0,418,0,0,90,7
6,17,12,405,0,1406,0,0,390,0,0,90,8
6,24,12,492,0,1849,0,0,480,0,0,90,10
6,31,12,644,0,2415,0,0,644,0,0,90,10
6,7,1,831,0,3123,0,42,822,0,0,90,10
6,14,1,573,0,3702,0,0,564,0,0,90,7
6,21,1,631,0,4258,0,0,622,0,0,90,7
6,28,1,573,0,4780,0,33,563,0,0,90,5
6,4,2,625,0,5287,0,0,615,0,0,90,4
6,11,2,919,0,6085,0,28,916,0,0,90,5
6,18,2,2133,0,7434,0,31,2125,0,0,90,4
6,25,2,2585,0,9774,0,0,2577,0,0,90,3
6,4,3,4613,0,13192,0,0,4605,0,0,87,4
6,11,3,5739,0,18166,0,26,5724,0,0,86,5
6,18,3,5875,0,23576,0,19,5860,0,0,86,4
6,25,3,5297,0,28679,0,0,5287,0,0,86,6
6,1,4,6716,0,34091,0,0,6707,0,0,86,7
